code_insee,nom,code_postal
01053,Bourg-en-Bresse,01000
01344,Saint-Denis-lès-Bourg,01000
01165,Francheleins,01090
01169,Genouilleux,01090
01183,Guéreins,01090
01225,Lurcy,01090
01258,Montceaux,01090
01263,Montmerle-sur-Saône,01090
01011,Apremont,01100
01014,Arbent,01100
01031,Bellignat,01100
01181,Groissiat,01100
01171,Géovreisset,01100
01237,Martignat,01100
01283,Oyonnax,01100
01012,Aranc,01110
01060,Brénod,01110
01080,Champdor-Corcelles,01110
01121,Corlier,01110
01185,Plateau d'Hauteville,01110
01311,Prémillieu,01110
01142,Dagneux,01120
01049,La Boisse,01120
01262,Montluel,01120
01276,Niévroz,01120
01297,Pizay,01120
01342,Sainte-Croix,01120
01418,Thil,01120
01035,Belleydoux,01130
01087,Charix,01130
01174,Giron,01130
01204,Le Poizat-Lalleyriat,01130
01274,Les Neyrolles,01130
01298,Plagne,01130
01357,Saint-Germain-de-Joux,01130
01152,Échallon,01130
01269,Nantua,"01130, 01460"
01167,Garnerans,01140
01188,Illiat,01140
01252,Mogneneins,01140
01295,Peyzieux-sur-Saône,01140
01348,Saint-Didier-sur-Chalaronne,01140
01351,Saint-Étienne-sur-Chalaronne,01140
01420,Thoissey,01140
01428,Valeins,01140
01047,Blyes,01150
01099,Chazey-sur-Ain,01150
01202,Lagnieu,01150
01213,Leyment,01150
01386,Saint-Sorlin-en-Bugey,01150
01390,Saint-Vulbas,01150
01366,Sainte-Julie,01150
01396,Sault-Brénaz,01150
01411,Souclin,01150
01431,Vaux-en-Bugey,01150
01444,Villebois,01150
01151,Druillat,01160
01425,La Tranclière,01160
01273,Neuville-sur-Ain,01160
01304,Pont-d'Ain,01160
01314,Priay,01160
01374,Saint-Martin-du-Mont,01160
01430,Varambon,01160
01071,Cessy,01170
01103,Chevry,01170
01135,Crozet,01170
01173,Gex,01170
01399,Ségny,01170
01436,Vesancy,01170
01153,Échenevex,01170
01016,Arbigny,01190
01057,Boz,01190
