CodePostal,Somme de Moins12ans,Somme de De12a18ans,Somme de De18a35ans,Somme de De35a60ans,Somme de Plus60ans,Somme de Etudiant,Somme de SansEmploi,Somme de EnEmploi,Somme de Retraite,Somme de Heterogene
 0400,0,0,0,1,0,0,0,1,0,0
 0653,0,0,0,1,3,0,2,1,1,0
 2817,0,0,0,1,6,0,0,1,6,0
 2920,0,0,1,1,1,0,1,1,1,0
 3488,0,0,0,0,15,0,0,0,15,0
 4257,0,0,0,0,2,0,0,0,2,0
 4310,0,0,0,2,3,0,0,0,3,2
 4345,0,0,0,2,6,0,0,2,5,1
 5031,0,0,0,7,45,0,2,0,50,0
 5070,0,0,2,21,61,0,15,4,59,6
 5864,0,0,0,10,0,0,0,10,0,0
 5924,0,0,1,6,3,0,5,2,3,0
 6265,0,0,0,4,0,0,0,0,4,0
 6732,0,0,0,2,4,0,0,4,2,0
 8632,0,0,0,2,4,0,0,0,4,2
 8643,0,0,0,0,12,0,0,0,12,0
 8646,0,0,0,1,6,0,0,1,6,0
 8650,0,0,0,0,2,0,0,0,0,2
 9110,65,129,4,1,0,194,0,5,0,0
 9122,0,0,0,1,4,0,0,1,4,0
 9131,0,1,0,0,6,1,0,0,6,0
 9400,0,0,2,19,8,0,14,9,5,1
 9414,0,0,6,27,10,0,15,13,5,10
01000,171,288,210,484,263,219,196,178,252,571
01090,0,0,7,27,205,0,9,9,191,30
01100,81,69,193,524,1605,125,269,428,1520,130
01110,100,222,90,197,1446,322,72,131,1428,102
01120,1,28,149,429,312,28,149,299,416,27
01130,0,3,1,91,464,3,30,73,423,30
01140,0,5,50,190,377,5,77,88,366,86
01150,0,0,7,27,218,0,3,22,198,29
01160,0,0,2,21,510,0,9,18,506,0
01170,0,0,45,220,268,1,85,193,235,19
01190,0,0,2,82,511,0,8,77,507,3
01200,0,8,252,575,421,15,383,448,376,34
01210,0,0,10,4,0,0,1,13,0,0
01220,0,0,5,27,0,0,21,6,0,5
01230,0,0,0,41,50,0,0,3,62,26
01240,0,0,0,27,124,0,2,33,114,2
01250,0,0,2,95,1341,0,3,53,1220,162
01260,36,0,0,31,533,36,3,8,538,15
01270,0,0,1,11,111,1,1,12,101,8
01290,0,0,2,29,415,0,10,17,331,88
01300,356,64,62,269,2304,367,118,201,2219,150
01310,37,6,1,66,628,37,25,48,590,38
01320,12,27,7,11,81,38,1,6,78,15
01330,0,0,3,23,131,0,1,13,118,25
01340,996,3,7,53,653,999,36,28,647,2
01350,32,7,7,42,428,39,25,22,430,0
01360,0,0,6,26,122,1,9,15,129,0
01370,1228,0,5,127,700,1228,25,48,639,120
01380,0,0,1,27,227,0,1,25,228,1
01390,0,0,10,27,407,0,0,16,387,41
01400,77,0,5,51,360,77,7,12,350,51
01410,0,0,0,0,4,0,0,0,4,0
01420,0,0,1,7,7,0,0,8,5,2
01430,0,0,2,101,426,0,2,27,413,87
01450,0,0,1,47,629,0,20,18,637,2
01460,0,1,16,65,418,8,36,48,403,5
01470,0,0,0,37,508,0,1,26,498,20
01480,0,0,1,13,196,0,1,4,194,11
01500,0,11,48,176,804,11,6,208,800,14
01510,0,0,0,30,590,0,10,6,590,7
01540,0,0,2,27,388,0,10,19,314,74
01560,0,0,0,18,634,0,4,18,628,2
01570,0,0,0,32,153,0,2,29,154,0
01580,0,0,2,46,379,0,1,39,380,7
01590,0,3,0,10,205,3,4,7,204,0
01600,2,8,7,72,701,10,5,46,692,40
01630,0,0,7,1,0,0,0,8,0,0
01640,0,0,0,36,857,0,24,13,854,2
01660,0,0,0,1,24,0,0,2,23,0
01700,0,5,95,215,429,2,77,166,424,75
01750,0,0,4,41,193,0,24,20,179,15
01800,0,0,11,130,1593,0,12,122,1595,5
01851,179,0,10,19,207,179,0,3,208,25
01960,0,0,39,182,329,0,21,205,324,0
01990,0,0,0,13,48,0,0,1,59,1
02000,58,69,649,1600,1267,130,1107,1052,1261,87
02100,219,97,374,1369,556,307,1085,285,349,589
02110,139,82,273,842,1092,204,774,318,1118,15
02120,52,114,65,329,587,170,104,174,641,58
02130,0,0,11,124,0,0,9,115,0,11
02140,454,7,72,302,387,493,7,234,466,22
02150,0,0,0,31,0,0,0,0,0,31
02160,30,0,418,299,45,30,63,569,114,13
02170,12,51,114,369,938,75,141,253,929,86
02190,0,0,1,98,17,0,3,8,17,88
02200,0,0,35,341,43,0,36,281,44,58
02210,102,3,10,181,355,105,54,107,304,81
02220,0,0,21,134,678,0,93,73,667,0
02230,0,0,0,0,51,0,0,0,51,0
02240,0,2,21,247,529,1,122,87,454,135
02250,20,0,17,33,0,20,2,37,0,11
02260,0,0,0,86,11,0,0,86,11,0
02270,0,0,54,11,11,0,1,9,8,58
02290,0,0,0,1,3,0,0,2,2,0
02300,82,17,216,609,397,148,367,246,402,158
02310,12,8,8,135,175,20,93,50,175,0
02320,0,40,75,156,329,44,132,53,326,45
02330,0,0,0,1,1,0,1,0,1,0
02340,167,270,24,53,252,293,35,26,254,141
02350,0,0,27,187,40,2,11,176,57,8
02360,323,187,146,62,674,410,113,52,666,151
02380,0,69,10,38,91,71,2,24,92,19
02390,0,0,1,0,1,0,0,1,1,0
02400,40,66,267,1079,889,110,704,486,702,339
02410,0,0,128,106,0,0,2,217,0,15
02420,0,13,0,29,20,13,24,0,20,5
02430,365,106,139,658,266,468,463,171,253,179
02490,0,1,0,1,171,1,0,1,111,60
02500,103,0,49,342,192,103,127,86,192,178
02510,0,3,7,9,59,3,0,12,63,0
02520,72,16,25,203,370,87,103,171,316,9
02550,0,0,0,4,13,0,1,4,10,2
02580,8,7,2,4,67,15,4,2,67,0
02590,0,0,0,4,1,0,4,0,1,0
02600,0,0,35,197,245,2,140,126,187,22
02700,0,1,10,33,150,0,19,25,129,21
02800,37,59,103,267,98,99,146,75,68,176
02820,234,80,100,231,87,323,55,205,115,34
02830,34,10,20,234,150,47,15,230,144,12
02850,0,0,5,0,0,0,5,0,0,0
02860,0,1,26,35,64,1,0,62,63,0
02870,0,0,0,0,7,0,0,0,7,0
02880,1299,4,27,106,1028,1303,8,106,1047,0
03000,1,602,227,352,462,701,133,303,438,69
03100,5,0,34,30,90,7,42,20,88,2
03110,63,0,8,28,425,63,2,44,410,2
03120,33,0,13,56,1027,33,36,33,1017,10
03130,0,1,3,20,9,2,9,10,9,3
03140,0,0,3,19,46,0,1,23,44,0
03150,368,58,39,51,7,434,39,30,8,12
03160,73,306,52,307,769,383,80,245,766,33
03170,0,0,2,0,0,0,2,0,0,0
03190,15,1,32,29,164,17,0,70,153,1
03200,35,253,159,737,1214,314,126,575,1180,203
03210,0,0,0,9,18,0,7,4,16,0
03220,15,29,1,24,7,44,0,21,7,4
03230,0,2,0,7,32,2,4,3,32,0
03240,0,0,0,7,11,0,6,1,5,6
03250,1,0,1,8,33,1,1,8,29,4
03260,32,0,0,20,46,32,7,9,36,14
03270,0,0,0,3,60,0,1,0,39,23
03290,2,10,20,59,52,2,48,17,50,22
03300,0,89,12,74,48,89,31,19,45,39
03310,43,16,0,5,106,59,2,2,105,2
03320,70,439,1,11,2,509,4,8,2,0
03330,0,0,3,30,0,0,3,30,0,0
03340,0,0,1,7,8,0,2,6,7,1
03350,5,8,12,7,4,14,13,4,3,2
03360,0,0,0,1,38,0,2,0,37,0
03370,0,0,4,13,22,0,3,13,23,0
03380,0,0,39,75,955,0,5,121,942,1
03390,32,411,7,18,109,443,9,8,117,0
03400,0,0,0,39,211,0,33,25,179,13
03410,171,0,0,20,1122,171,5,6,1129,2
03420,0,0,0,4,332,0,4,0,332,0
03430,12,15,9,34,120,25,28,11,113,13
03440,0,0,0,1,0,0,1,0,0,0
03450,0,0,0,10,0,0,2,8,0,0
03460,18,7,1,8,7,19,8,5,8,1
03470,0,0,0,7,19,0,0,3,20,3
03500,0,25,12,117,84,25,25,106,68,14
03510,0,0,1,57,119,0,0,29,148,0
03600,0,2,8,51,117,2,17,15,108,36
03630,0,0,2,3,2,0,0,5,2,0
03700,0,55,13,24,6,55,23,15,4,1
03800,0,2,17,91,14,2,49,63,14,0
04000,0,0,73,276,684,0,35,236,649,113
04100,107,29,18,63,734,136,25,60,707,27
04120,0,123,4,92,293,123,9,33,271,76
04160,0,0,21,75,273,3,12,17,251,86
04170,0,15,1,79,416,15,3,85,392,16
04180,0,0,0,0,9,0,0,0,9,0
04190,0,1,11,69,110,0,46,14,99,32
04200,0,40,218,179,418,205,63,132,397,58
04240,0,30,1,23,349,30,1,23,347,2
04250,2,2,21,213,242,5,94,89,209,83
04260,0,0,0,25,229,0,15,9,217,13
04270,0,0,0,3,10,0,2,0,6,5
04290,0,0,0,1,0,0,0,1,0,0
04300,1,1,0,0,13,2,0,0,13,0
04310,118,30,22,137,622,182,21,83,608,35
04320,0,0,2,11,213,0,7,7,212,0
04330,0,0,0,57,196,0,14,47,175,17
04350,56,25,9,270,406,85,342,32,282,25
04370,0,0,1,37,106,0,15,23,103,3
04500,0,0,2,6,11,0,1,5,9,4
04600,0,0,5,24,109,0,7,14,103,14
04660,8,12,0,0,0,20,0,0,0,0
04700,75,10,33,176,462,88,37,157,419,55
05000,5,39,942,1351,909,59,951,954,832,453
05100,0,7,135,119,177,5,127,95,131,80
05110,0,0,0,13,15,0,0,12,16,0
05120,0,8,55,335,241,11,105,290,217,16
05130,0,0,1,4,17,0,0,5,16,1
05140,0,1,3,20,89,0,2,18,88,5
