Name,ID,Is Active,City Insee Code,Address,Zip Code,France Services Label,City,Nombre d'aidants,Question 110 → Nombre D'usagers Uniques,Question 109 → Nombre De Demarche Par Structure,Question 99 → Nombre Demarche Argent,Question 107 → Nombre Demarche Etranger,Question 103 → Nombre Demarche Famille,Question 106 → Nombre Demarche Justice,Question 108 → Nombre Demarche Loisirs,Question 102 → Nombre Demarche Papier,Question 104 → Nombre Demarche Social,Question 105 → Nombre Demarche Transport,Question 113 → Nombre Demarche Travail,Question 114 → Nombre Demarche Logement
BetaGouv,1,true,75107,"20 Avenue de Ségur, 75007 Paris",75007,false,,22,9,53,6,2,3,,20,14,3,5,,
Blueconfig,2,true,64421,2 AVENUE DES FONTAINES,64680,false,OGEU-LES-BAINS,5,5,20,14,,,,,,5,,1,
La Palette - Le Panel des possibles,3,false,23244,"9 place de la Poste 
23800 Dun Le Palestel",23800,false,Dun Le Palestel,3,,,,,,,,,,,,
Net SOLIDAIRE,4,false,17300,"14 bis avenue des grandes Varennes 
17000 La Rochelle",17000,false,La Rochelle,4,,,,,,,,,,,,
Médiathèque Simone de Beauvoir,5,true,26281,rue Sabaton,26100,false,ROMANS SUR ISERE,5,1,,,,,,,,,,,
PIMMS Blois,6,true,42218,11 place René Coty 42000 Blois,42000,false,Blois,6,1,,,,,,,,,,,
Conseil Départemental d'Eure-et-Loir,7,true,28085,1 place Châtelet 28028 Chartres Cedex,28000,false,Chartres,4,70,337,52,,25,,,14,86,,111,49
CCAS d'Anglet,8,false,64024,"Hôtel de ville 
Rue Amédée Dufourg 
BP 303 
64603 Anglet Cedex",64600,false,Anglet,2,,,,,,,,,,,,
La Fabrique Citoyenne,9,true,33167,"Hôtel de Ville 
6 avenue Pasteur
33270 Floirac",33270,false,Floirac,7,485,2254,556,104,321,12,7,164,521,313,67,189
Mairie de Préguillac,10,false,17444,"7 Rue de Perjus, 17460 Préguillac",17460,false,Préguillac,0,,,,,,,,,,,,
Mairie de Rioux,11,false,17444,"12 Place de la Mairie, 17460 Rioux",17460,false,Rioux,1,,,,,,,,,,,,
Association des centres sociaux de Douai,12,true,59178,68 rue Charles Monsarrat,59500,false,DOUAI,3,,,,,,,,,,,,
Le Faitout Connecté,13,true,02676,2 Bis Route de Montaigu,02820,false,Saint-Erme-Outre-et-Ramecourt,6,762,5148,928,,473,5,1,468,1010,571,1684,8
France Service Chalonnes-sur-Loire,14,true,49063,4 rue des poilus,49290,false,Chalonnes-Sur-Loire,3,,,,,,,,,,,,
"Maison France Service , Vic-sur-seille",15,true,57448,22 place Philipe Leroy,57630,false,Vic-sur-seille,0,,,,,,,,,,,,
France Service Ligny-en-Barrois,16,true,55374,12/14 rue des Etats-Unis,55500,false,Ligny-en-Barrois,1,2,,,,,,,,,,,
Maison des solidarités de Castanet,17,true,31113,68 Avenue du Lauragais,31320,false,Castanet-Tolosan,5,1,1,1,,,,,,,,,
Mon Assistant Numérique cambrésis,18,true,59122,105 rue de crevecoeur,59400,false,CAMBRAI,1,1,,,,,,,,,,,
Foyer des jeunes travailleurs de Saint-Amand-Montrond,19,true,18197,34-36 rue de la Brasserie,18200,false,Saint-Amand-Montrond,3,26,115,37,,,,,,24,1,51,2
ASOFT,20,true,26220,"29 rue Draye de Meyne, 26110, NYONS",26110,false,Nyons,5,16,65,17,,2,,,,19,15,2,10
CCAS de Roanne,21,true,42187,Centre Administratif Paul Pillet - Place de l’Hôtel de Ville,42300,false,ROANNE,2,51,419,149,,11,1,,17,148,,1,92
CCAS Villeneuve Saint-Georges,22,true,94078,9 rue de la Marne,94190,false,VILLENEUVE-SAINT-GEORGES,8,40,792,448,40,198,,,5,61,2,17,21
