Name,ID,UUID,Is Active,City Insee Code,Address,Zip Code,Siret,France Services Label,City,Nombre d'aidants,Question 110 → Nombre D'usagers Uniques,Question 109 → Nombre De Demarche Par Structure,Question 99 → Nombre Demarche Argent,Question 107 → Nombre Demarche Etranger,Question 103 → Nombre Demarche Famille,Question 106 → Nombre Demarche Justice,Question 108 → Nombre Demarche Loisirs,Question 102 → Nombre Demarche Papier,Question 104 → Nombre Demarche Social,Question 105 → Nombre Demarche Transport,Question 113 → Nombre Demarche Travail,Question 114 → Nombre Demarche Logement
BetaGouv,1,76813e41-71c9-4696-b743-ba2e44ba5f8b,true,75107,"20 Avenue de Ségur, 75007 Paris",75007,13002603200016.0,false,Paris,22,9,53,6,2,3,,20,14,3,5,,
Blueconfig - Le fourgon Connecté,2,3ee93aa1-6d3b-484a-8e72-a07a348d71a5,true,64421,2 AVENUE DES FONTAINES,64680,82821337100028.0,false,Ogeu-Les-Bains,5,5,20,14,,,,,,5,,1,
La Palette - Le Panel des possibles,3,fedf6e6e-5f40-4369-8be3-2c7bf429dae6,false,23244,"9 place de la Poste 
23800 Dun Le Palestel",23800,42189774500020.0,false,Dun Le Palestel,3,,,,,,,,,,,,
Net SOLIDAIRE,4,ae9de3ba-7b3d-424a-a4f0-c65d5806c013,false,17300,"14 bis avenue des grandes Varennes 
17000 La Rochelle",17000,0.0,false,La Rochelle,4,,,,,,,,,,,,
Médiathèque Simone de Beauvoir,5,60d69d93-fd21-4e99-ac5a-6caf26bdb797,true,26281,rue Sabaton,26100,20006878100166.0,false,Romans Sur Isere,5,1,,,,,,,,,,,
PIMMS Blois,6,29481202-b7ba-4365-b868-92fcba2c2b58,true,42218,11 place René Coty 42000 Blois,42000,42410964300066.0,false,Blois,6,1,,,,,,,,,,,
Conseil Départemental d'Eure-et-Loir,7,4f980d6f-6c03-4a4d-8147-89d8c00543cb,true,28085,1 place Châtelet 28028 Chartres Cedex,28000,22280001300013.0,false,Chartres,4,72,342,53,,25,,,14,88,,113,49
CCAS d'Anglet,8,e3060b5b-b682-49be-957a-10860f63dc75,false,64024,"Hôtel de ville 
Rue Amédée Dufourg 
BP 303 
64603 Anglet Cedex",64600,26640023300018.0,false,Anglet,2,,,,,,,,,,,,
La Fabrique Citoyenne,9,fa5d19a6-0797-417a-ab11-5309435a0cc5,true,33167,"Hôtel de Ville 
6 avenue Pasteur
33270 Floirac",33270,21330167400015.0,false,Floirac,7,539,2637,721,160,378,12,7,177,561,350,71,200
Mairie de Préguillac,10,8abc9014-e955-4900-a5d0-e370d0e7ae5d,false,17444,"7 Rue de Perjus, 17460 Préguillac",17460,21170289900017.0,false,Préguillac,0,,,,,,,,,,,,
Mairie de Rioux,11,0190c9ce-32fd-4056-b3a6-4ddb464e1ce2,false,17444,"12 Place de la Mairie, 17460 Rioux",17460,21170298000015.0,false,Rioux,1,,,,,,,,,,,,
Association des centres sociaux de Douai,12,55cf519d-3717-4e86-9fdf-bbf00ce25351,true,59178,68 rue Charles Monsarrat,59500,40224571600095.0,false,Douai,3,,,,,,,,,,,,
Le Faitout Connecté,13,47bb258d-adbc-4b00-a707-62b47f33e6f2,true,02676,2 Bis Route de Montaigu,02820,0.0,true,Saint-Erme-Outre-Et-Ramecourt,6,795,5475,940,,779,5,1,472,1011,571,1688,8
France Service Chalonnes-sur-Loire,14,65023bfe-7ce8-48bb-b446-0e27ebbb54a7,true,49063,4 rue des poilus,49290,26490189300042.0,true,Chalonnes-Sur-Loire,3,,,,,,,,,,,,
"Maison France Service , Vic-sur-seille",15,53564590-4612-4df2-a3c7-21037bb12218,true,57448,22 place Philipe Leroy,57630,21570712600011.0,true,Vic-Sur-Seille,0,,,,,,,,,,,,
France Service Ligny-en-Barrois,16,4bb681ec-94a8-4ce8-8ff3-18097306091b,true,55374,12/14 rue des Etats-Unis,55500,37962415800026.0,true,Ligny-En-Barrois,1,2,,,,,,,,,,,
Maison des solidarités de Castanet,17,6515d81d-f148-4424-8d4e-e5edf7ae0eef,true,31113,68 Avenue du Lauragais,31320,22310001700274.0,false,Castanet-Tolosan,5,1,1,1,,,,,,,,,
Mon Assistant Numérique Cambrésis,18,3008ce56-2aa1-4697-bf3b-a8cd1dfb0212,true,59122,105 rue de crevecoeur,59400,84437860400012.0,false,Cambrai,1,1,,,,,,,,,,,
Foyer des jeunes travailleurs de Saint-Amand-Montrond,19,e6ea4c55-98bb-46fd-a784-9c8a63839d10,true,18197,34-36 rue de la Brasserie,18200,77505495000016.0,false,Saint-Amand-Montrond,3,26,115,37,,,,,,24,1,51,2
ASOFT,20,bbb2b62d-9c14-4ba2-ab27-92ee2cf576bb,true,26220,"29 rue Draye de Meyne, 26110, NYONS",26110,43752561100012.0,false,Nyons,5,16,77,21,,2,,,1,19,16,3,15
CCAS de Roanne,21,5ccd5e9e-4a1d-44f5-89c7-b144b424c5f3,true,42187,Centre Administratif Paul Pillet - Place de l’Hôtel de Ville,42300,26421024600015.0,false,Roanne,2,56,519,171,,11,1,,22,211,,1,102
CCAS Villeneuve Saint-Georges,22,f2d0ed7e-98c2-43c1-a590-5b4114b00b20,true,94078,9 rue de la Marne,94190,26940045300016.0,false,Villeneuve-Saint-Georges,8,44,902,556,42,198,,,5,61,2,17,21
Espace 2M,23,deb2af24-a8e7-40bd-aa78-6983394edf0d,true,42187,4 Rue Molière 42300,42300,38165459900020.0,false,Roanne,29,1,,,,,,,,,,,
MAIRIE DE ROMANS SUR ISERE,24,0e8c19fc-58d5-4807-83a2-d86a53b394ba,true,26281,Rue du Capitaine Bozambo,26100,21260281700018.0,false,Romans Sur Isere,9,4,2,,,,,,1,,1,,
France Services Rumilly,25,a274d852-4d9b-4878-825d-dbd2bf6c9e36,true,74225,25 rue Charles de Gaulle,74150,21740225400015.0,true,Rumilly,5,1,2,,,,,,,,2,,
Maison de l'emploi  et de l'Entreprise - MIFE Isère,26,aecd207f-68ca-4c26-8786-0655679f131b,true,38382,4 Avenue du General de Gaulle 38120 Saint-Égrève,38120,42378047700026.0,false,St Egreve,3,,,,,,,,,,,,
Espace France Services du Diois,27,5f24c69a-de56-4104-8f36-29c2b3abdb30,true,26113,200 Avenue de la Clairette 26150 Die,26150,19260765300024.0,true,Die,5,15,59,3,,4,,,1,17,1,33,
