CODGEO,LIBGEO,EPT,LIBEPT,DEP
91027,Athis-Mons,200058014,Grand-Orly Seine Bièvre,91
91326,Juvisy-sur-Orge,200058014,Grand-Orly Seine Bièvre,91
91432,Morangis,200058014,Grand-Orly Seine Bièvre,91
91479,Paray-Vieille-Poste,200058014,Grand-Orly Seine Bièvre,91
91589,Savigny-sur-Orge,200058014,Grand-Orly Seine Bièvre,91
91687,Viry-Châtillon,200058014,Grand-Orly Seine Bièvre,91
92002,Antony,200057966,Vallée Sud-Grand Paris,92
92004,Asnières-sur-Seine,200057990,Boucle Nord de Seine,92
92007,Bagneux,200057966,Vallée Sud-Grand Paris,92
92009,Bois-Colombes,200057990,Boucle Nord de Seine,92
92012,Boulogne-Billancourt,200057974,Grand Paris Seine Ouest,92
92014,Bourg-la-Reine,200057966,Vallée Sud-Grand Paris,92
92019,Châtenay-Malabry,200057966,Vallée Sud-Grand Paris,92
92020,Châtillon,200057966,Vallée Sud-Grand Paris,92
92022,Chaville,200057974,Grand Paris Seine Ouest,92
92023,Clamart,200057966,Vallée Sud-Grand Paris,92
92024,Clichy,200057990,Boucle Nord de Seine,92
92025,Colombes,200057990,Boucle Nord de Seine,92
92026,Courbevoie,200057982,Paris Ouest La Défense,92
92032,Fontenay-aux-Roses,200057966,Vallée Sud-Grand Paris,92
92033,Garches,200057982,Paris Ouest La Défense,92
92035,La Garenne-Colombes,200057982,Paris Ouest La Défense,92
92036,Gennevilliers,200057990,Boucle Nord de Seine,92
92040,Issy-les-Moulineaux,200057974,Grand Paris Seine Ouest,92
92044,Levallois-Perret,200057982,Paris Ouest La Défense,92
92046,Malakoff,200057966,Vallée Sud-Grand Paris,92
92047,Marnes-la-Coquette,200057974,Grand Paris Seine Ouest,92
92048,Meudon,200057974,Grand Paris Seine Ouest,92
92049,Montrouge,200057966,Vallée Sud-Grand Paris,92
92050,Nanterre,200057982,Paris Ouest La Défense,92
92051,Neuilly-sur-Seine,200057982,Paris Ouest La Défense,92
92060,Le Plessis-Robinson,200057966,Vallée Sud-Grand Paris,92
92062,Puteaux,200057982,Paris Ouest La Défense,92
92063,Rueil-Malmaison,200057982,Paris Ouest La Défense,92
92064,Saint-Cloud,200057982,Paris Ouest La Défense,92
92071,Sceaux,200057966,Vallée Sud-Grand Paris,92
92072,Sèvres,200057974,Grand Paris Seine Ouest,92
92073,Suresnes,200057982,Paris Ouest La Défense,92
92075,Vanves,200057974,Grand Paris Seine Ouest,92
92076,Vaucresson,200057982,Paris Ouest La Défense,92
92077,Ville-d'Avray,200057974,Grand Paris Seine Ouest,92
92078,Villeneuve-la-Garenne,200057990,Boucle Nord de Seine,92
93001,Aubervilliers,200057867,Plaine Commune,93
93005,Aulnay-sous-Bois,200058097,Paris Terres d'Envol,93
