name,division,code,no_thd_coverage_rate,no_4g_coverage_rate,poverty_rate,older_65_rate,nscol15p_rate,total
L'Abergement-Clémenciat,city,01001,10.0,7.0,2.0,5.0,6.0,4.785714285714286
L'Abergement-de-Varey,city,01002,6.0,8.0,2.0,4.0,2.0,4.285714285714286
Ambérieu-en-Bugey,city,01004,6.0,6.592029291649063,8.0,3.7232784114913393,4.893536121673004,5.955800993823807
Ambérieux-en-Dombes,city,01005,6.0,5.0,2.0,3.0,4.0,3.5714285714285716
Ambléon,city,01006,1.0,8.0,2.0,7.0,6.0,6.142857142857143
Ambronay,city,01007,7.0,8.0,2.0,3.0,4.0,4.0
Ambutrix,city,01008,6.0,6.0,2.0,2.0,4.0,3.5
Andert-et-Condon,city,01009,5.0,8.0,1.0,9.0,4.0,6.0
Anglefort,city,01010,7.0,10.0,1.0,3.0,7.0,5.142857142857143
Apremont,city,01011,6.0,9.0,1.0,4.0,3.0,4.428571428571429
Aranc,city,01012,10.0,9.0,1.0,8.0,7.0,6.142857142857143
Arandas,city,01013,8.0,9.0,1.0,5.0,9.0,5.357142857142857
Arbent,city,01014,6.0,10.0,3.0,6.0,8.0,5.357142857142857
Arboys en Bugey,city,01015,5.0,9.0,1.0,8.0,5.0,5.142857142857143
Arbigny,city,01016,6.0,7.0,1.0,6.0,7.0,4.928571428571429
Argis,city,01017,10.0,9.0,1.0,6.0,8.0,6.428571428571429
Armix,city,01019,10.0,9.0,10.0,9.0,10.0,7.714285714285714
Ars-sur-Formans,city,01021,7.0,5.0,10.0,3.0,2.0,3.7857142857142856
Artemare,city,01022,8.0,7.0,10.0,7.0,10.0,6.857142857142857
Asnières-sur-Saône,city,01023,2.0,5.0,10.0,4.0,8.0,5.428571428571429
Attignat,city,01024,7.0,6.0,10.0,3.0,5.0,4.5
Bâgé-Dommartin,city,01025,9.0,5.0,1.0,3.0,4.0,3.7142857142857144
Bâgé-le-Châtel,city,01026,8.0,5.0,9.0,8.0,8.0,5.071428571428571
Balan,city,01027,8.0,5.0,9.0,1.0,3.0,3.642857142857143
Baneins,city,01028,10.0,5.0,9.0,4.0,6.0,4.571428571428571
Beaupont,city,01029,8.0,5.0,9.0,4.0,9.0,6.785714285714286
Beauregard,city,01030,10.0,5.0,9.0,3.0,5.0,4.928571428571429
Bellignat,city,01031,7.0,7.0,8.0,3.0,7.0,6.357142857142857
Béligneux,city,01032,8.0,6.0,1.0,2.0,4.0,4.142857142857143
Valserhône,city,01033,8.0,6.011261946794911,7.0,3.1854264320935046,7.007974675838558,5.644078998860761
Belley,city,01034,7.0,6.768969298245614,8.0,6.459978070175438,7.231030701754386,6.892003446115289
Belleydoux,city,01035,6.0,10.0,2.0,5.0,3.0,5.357142857142857
Valromey-sur-Séran,city,01036,8.0,8.0,2.0,8.0,4.0,4.714285714285714
Bénonces,city,01037,4.0,10.0,1.0,6.0,7.0,5.571428571428571
Bény,city,01038,7.0,5.0,1.0,5.0,6.0,3.9285714285714284
Béon,city,01039,5.0,8.0,1.0,4.0,9.0,5.642857142857143
Béréziat,city,01040,9.0,5.0,1.0,3.0,5.0,3.9285714285714284
Bettant,city,01041,10.0,8.0,1.0,4.0,5.0,4.642857142857143
Bey,city,01042,5.0,5.0,1.0,3.0,4.0,3.2857142857142856
Beynost,city,01043,8.0,6.0,1.0,4.0,2.0,3.357142857142857
Billiat,city,01044,8.0,10.0,1.0,3.0,6.0,5.714285714285714
Birieux,city,01045,7.0,6.0,1.0,2.0,3.0,4.357142857142857
Biziat,city,01046,6.0,5.0,1.0,2.0,7.0,3.4285714285714284
Blyes,city,01047,6.0,5.0,1.0,1.0,2.0,3.2142857142857144
La Boisse,city,01049,9.0,6.0,1.0,3.0,3.0,3.4285714285714284
Boissey,city,01050,10.0,5.0,1.0,2.0,6.0,4.785714285714286
Bolozon,city,01051,8.0,8.0,1.0,9.0,9.0,5.785714285714286
Bouligneux,city,01052,7.0,5.0,1.0,7.0,2.0,4.571428571428571
Bourg-en-Bresse,city,01053,3.0,5.0,9.0,6.120083418206509,5.10497599301615,6.3115763546798025
Bourg-Saint-Christophe,city,01054,4.0,6.0,1.0,1.0,2.0,2.7857142857142856
Boyeux-Saint-Jérôme,city,01056,3.0,10.0,1.0,6.0,5.0,4.714285714285714
Boz,city,01057,8.0,5.0,1.0,3.0,6.0,4.071428571428571
Brégnier-Cordon,city,01058,4.0,7.0,1.0,6.0,5.0,4.214285714285714
Brénod,city,01060,8.0,10.0,1.0,8.0,5.0,5.571428571428571
Brens,city,01061,9.0,7.0,1.0,6.0,4.0,3.5714285714285716
Bressolles,city,01062,9.0,7.0,4.0,3.0,2.0,4.071428571428571
Brion,city,01063,8.0,9.0,4.0,8.0,7.0,5.714285714285714
Briord,city,01064,4.0,9.0,4.0,1.0,8.0,4.642857142857143
Buellas,city,01065,3.0,5.0,4.0,5.0,3.0,3.5714285714285716
La Burbanche,city,01066,7.0,10.0,4.0,3.0,8.0,7.714285714285714
Ceignes,city,01067,6.0,9.0,4.0,1.0,5.0,4.928571428571429
Cerdon,city,01068,9.0,10.0,4.0,7.0,7.0,5.714285714285714
Certines,city,01069,6.0,8.0,4.0,2.0,4.0,3.9285714285714284
Cessy,city,01071,7.0,5.0,2.0,1.0,2.0,3.7142857142857144
Ceyzériat,city,01072,8.0,6.0,4.0,6.0,3.0,4.928571428571429
Ceyzérieu,city,01073,8.0,7.0,4.0,7.0,4.0,5.0
Chalamont,city,01074,9.0,7.0,3.0,5.0,7.0,5.0
Chaleins,city,01075,7.0,5.0,4.0,2.0,4.0,4.071428571428571
Chaley,city,01076,10.0,10.0,4.0,10.0,10.0,7.5
Challes-la-Montagne,city,01077,10.0,8.0,6.0,5.0,5.0,6.214285714285714
Challex,city,01078,4.0,8.0,6.0,3.0,2.0,4.071428571428571
Champagne-en-Valromey,city,01079,7.0,8.0,6.0,10.0,8.0,7.0
Champdor-Corcelles,city,01080,6.0,10.0,6.0,6.0,7.0,5.785714285714286
Champfromier,city,01081,6.0,10.0,6.0,5.0,4.0,6.5
Chanay,city,01082,6.0,10.0,6.0,2.0,3.0,5.714285714285714
Chaneins,city,01083,5.0,5.0,6.0,2.0,5.0,3.2857142857142856
Chanoz-Châtenay,city,01084,9.0,6.0,6.0,3.0,4.0,3.7142857142857144
La Chapelle-du-Châtelard,city,01085,9.0,5.0,6.0,2.0,3.0,4.428571428571429
Charix,city,01087,8.0,10.0,1.0,6.0,4.0,6.142857142857143
Charnoz-sur-Ain,city,01088,5.0,5.0,1.0,1.0,3.0,2.7857142857142856
Château-Gaillard,city,01089,6.0,5.0,1.0,2.0,4.0,3.0714285714285716
Châtenay,city,01090,10.0,8.0,1.0,6.0,4.0,5.285714285714286
Châtillon-la-Palud,city,01092,9.0,7.0,1.0,4.0,3.0,3.7142857142857144
Châtillon-sur-Chalaronne,city,01093,9.0,5.0,3.0,9.0,8.0,5.714285714285714
Chavannes-sur-Reyssouze,city,01094,3.0,7.0,1.0,5.0,7.0,4.5
Nivigne et Suran,city,01095,7.0,10.0,8.0,3.0,5.0,5.571428571428571
Chaveyriat,city,01096,9.0,5.0,8.0,2.0,6.0,4.214285714285714
Chazey-Bons,city,01098,9.0,6.0,8.0,5.0,7.0,5.785714285714286
Chazey-sur-Ain,city,01099,6.0,5.0,8.0,3.0,3.0,4.142857142857143
Cheignieu-la-Balme,city,01100,7.0,9.0,8.0,10.0,8.0,8.142857142857142
Chevillard,city,01101,3.0,10.0,8.0,4.0,2.0,5.214285714285714
Chevroux,city,01102,8.0,5.0,8.0,2.0,7.0,4.428571428571429
Chevry,city,01103,6.0,7.0,8.0,1.0,2.0,4.142857142857143
Chézery-Forens,city,01104,8.0,10.0,8.0,4.0,4.0,5.857142857142857
Civrieux,city,01105,6.0,5.0,8.0,2.0,2.0,3.2857142857142856
Cize,city,01106,10.0,8.0,8.0,7.0,8.0,6.5
Cleyzieu,city,01107,9.0,10.0,8.0,7.0,6.0,6.357142857142857
Coligny,city,01108,7.0,8.0,8.0,9.0,8.0,6.428571428571429
Collonges,city,01109,5.0,10.0,8.0,1.0,3.0,4.642857142857143
Colomieu,city,01110,10.0,7.0,8.0,6.0,7.0,6.857142857142857
Conand,city,01111,10.0,10.0,8.0,6.0,3.0,6.357142857142857
Condamine,city,01112,9.0,9.0,8.0,1.0,3.0,5.285714285714286
Condeissiat,city,01113,8.0,5.0,8.0,3.0,4.0,4.357142857142857
Confort,city,01114,7.0,8.0,8.0,8.0,5.0,4.571428571428571
Confrançon,city,01115,7.0,6.0,8.0,2.0,4.0,4.642857142857143
Contrevoz,city,01116,9.0,8.0,8.0,8.0,6.0,6.428571428571429
Conzieu,city,01117,1.0,7.0,8.0,3.0,5.0,5.285714285714286
Corbonod,city,01118,7.0,10.0,8.0,5.0,8.0,7.214285714285714
Corlier,city,01121,10.0,9.0,8.0,2.0,6.0,6.714285714285714
