name,division,code,no_thd_coverage_rate,no_4g_coverage_rate,poverty_rate,older_65_rate,nscol15p_rate,total
CC Faucigny-Glières,epci,200000172,8.561618616296624,6.316506498766523,3.0279097168526086,2.7449464265989176,4.961117861482381,5.122419823999411
CC du Pays de Pontchâteau Saint-Gildas-des-Bois,epci,200000438,7.644650716623406,5.618130007899786,3.587856901026972,4.341552872136328,6.812916149418801,5.601021329421058
CC des Portes de Romilly-sur-Seine,epci,200000545,4.319659232731022,5.282652341418417,8.332844972597536,6.830321775462586,9.423842856367681,6.837864235715449
CC Rhône Lez Provence,epci,200000628,2.732850625706274,5.904239735487382,7.380697275352614,6.221320051898045,7.886535805466036,6.02512869878207
CC Cœur de Sologne,epci,200000800,8.723591883178456,8.512421771287691,3.573866868955054,8.05025602124028,8.042859852076617,7.380599279347621
CC de la Plaine Dijonnaise,epci,200000925,8.056270169537749,5.976319258215535,5.3135312031271305,3.344075269305941,4.682741693559383,5.474587518749147
CC Sauldre et Sologne,epci,200000933,5.6600424861234835,8.636401014184884,5.323922428561639,8.92338792571781,8.812375796614816,7.471225930240527
CC du Pays de Fayence,epci,200004802,7.31849900313301,9.591782967815437,5.206956707490743,7.313336656223298,3.997507832526346,6.685616633437768
CC des Portes de Sologne,epci,200005932,6.254025974025974,9.302532467532467,3.431688311688312,5.98,3.366233766233766,5.666896103896104
CC de la Région de Rambervillers,epci,200005957,7.021000996397639,8.384609488771366,6.102092435042539,5.8789760098106845,8.34636314861654,7.146608415727753
"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",epci,200006682,6.282485985674245,6.059813920896917,5.841034724384927,6.340372936779819,5.831146838990969,6.070970881345375
CC du Nogentais,epci,200006716,4.577439676690836,6.280221086413883,6.201355045762511,5.103767978129086,8.17627481278973,6.067811719957208
CC du Haut-Allier,epci,200006930,4.307291666666667,8.652391975308642,7.632523148148148,8.480516975308642,7.115162037037037,7.237577160493828
CC du Perche,epci,200006971,4.895650744960561,5.8037357581069235,5.962204206836109,8.610319894829097,8.517418930762489,6.757865907099036
