ID;Name;Is Active;City Insee Code;Address;Zip Code;Siret;France Services Label;Nombre d'aidants;Nombre D'usagers Uniques;Nombre De Demarche Par Structure;Nombre Demarche Argent;Nombre Demarche Etranger;Nombre Demarche Famille;Nombre Demarche Justice;Nombre Demarche Loisirs;Nombre Demarche Papier;Nombre Demarche Social;Nombre Demarche Transport;Nombre Demarche Travail;Nombre Demarche Logement
1;BetaGouv;TRUE;75107;20 Avenue de Ségur, 75007 Paris;75007;1;FALSE;22;9;255;26;7;15;7;106;61;18;29;15;5
2;Blueconfig;TRUE;64421;2 AVENUE DES FONTAINES;64680;828 213 371;FALSE;5;5;137;40;12;15;11;11;19;24;16;15;13
3;La Palette - Le Panel des possibles;FALSE;23244;"9 place de la Poste 
23800 Dun Le Palestel";23800;1;FALSE;3;;;;;;;;;;;;
4;Net SOLIDAIRE;FALSE;17300;"14 bis avenue des grandes Varennes 
17000 La Rochelle";17000;1;FALSE;4;;;;;;;;;;;;
5;Médiathèque Simone de Beauvoir;TRUE;26281;rue Sabaton;26100;1;FALSE;5;1;4;4;;;;;;;;;
6;PIMMS Blois;TRUE;42218;11 place René Coty 42000 Blois;42000;1;FALSE;6;1;5;;;3;;;;3;;;
7;Conseil Départemental d'Eure-et-Loir;TRUE;28085;1 place Châtelet 28028 Chartres Cedex;28000;1;FALSE;4;70;835;187;25;154;26;7;123;224;30;231;167
8;CCAS d'Anglet;FALSE;64024;"Hôtel de ville 
Rue Amédée Dufourg 
BP 303 
64603 Anglet Cedex";64600;1;FALSE;2;;;;;;;;;;;;
9;La Fabrique Citoyenne;TRUE;33167;"Hôtel de Ville 
6 avenue Pasteur
33270 Floirac";33270;1;FALSE;7;485;10 355;2 042;1 538;1 825;1 476;1 406;1 693;2 033;1 823;1 571;1 691
10;Mairie de Préguillac;FALSE;17444;7 Rue de Perjus, 17460 Préguillac;17460;1;FALSE;0;;;;;;;;;;;;
11;Mairie de Rioux;FALSE;17444;12 Place de la Mairie, 17460 Rioux;17460;1;FALSE;1;;;;;;;;;;;;
12;Association des centres sociaux de Douai;TRUE;59178;68 rue Charles Monsarrat;59500;1;FALSE;3;;;;;;;;;;;;
13;Le Faitout Connecté;TRUE;02676;2 Bis Route de Montaigu;02820;1;FALSE;6;762;10 213;2 522;10;969;17;5;1 652;2 633;1 274;3 372;80
14;France Service Chalonnes-sur-Loire;TRUE;49063;4 rue des poilus;49290;1;FALSE;3;;;;;;;;;;;;
15;Maison France Service , Vic-sur-seille;TRUE;57448;22 place Philipe Leroy;57630;21 570 712 600 011;FALSE;0;;;;;;;;;;;;
16;France Service Ligny-en-Barrois;TRUE;55374;12/14 rue des Etats-Unis;55500;1;FALSE;1;2;5;;;3;;;;2;;;
17;Maison des solidarités de Castanet;TRUE;31113;68 Avenue du Lauragais;31320;1;FALSE;5;1;9;3;;2;2;;2;2;;2;2
18;Mon Assistant Numérique cambrésis;TRUE;59122;105 rue de crevecoeur;59400;1;FALSE;1;1;4;2;;2;;;;2;;;
19;Foyer des jeunes travailleurs de Saint-Amand-Montrond;TRUE;18197;34-36 rue de la Brasserie;18200;1;FALSE;3;26;614;136;79;93;88;85;93;119;94;148;98
20;ASOFT;TRUE;26220;29 rue Draye de Meyne, 26110, NYONS;26110;1;FALSE;5;16;142;35;4;10;2;2;12;44;35;14;22
21;CCAS de Roanne;TRUE;42187;Centre Administratif Paul Pillet - Place de l’Hôtel de Ville;42300;26 421 024 600 015;FALSE;2;51;817;297;;88;7;;101;282;8;14;229
22;CCAS Villeneuve Saint-Georges;TRUE;94078;9 rue de la Marne;94190;26 940 045 300 016;FALSE;8;40;1 627;618;185;379;137;125;184;244;158;198;197
23;Espace 2M;TRUE;42187;4 Rue Molière 42300;42300;38 165 459 900 020;FALSE;29;1;2;;;;;;;;2;;
24;MAIRIE DE ROMANS SUR ISERE;TRUE;26281;Rue du Capitaine Bozambo;26100;21 260 281 700 018;FALSE;9;4;12;;;2;;;7;;5;;
25;France Services Rumilly;TRUE;74225;25 rue Charles de Gaulle;74150;21 740 225 400 015;TRUE;5;1;5;;;;;;;;5;;
26;Maison de l'emploi  et de l'Entreprise - MIFE Isère;TRUE;38382;4 Avenue du General de Gaulle 38120 Saint-Égrève;38120;42 378 047 700 026;FALSE;3;;;;;;;;;;;;
27;Espace France Services du Diois;TRUE;26113;200 Avenue de la Clairette 26150 Die;26150;19 260 765 300 024;TRUE;5;14;158;18;12;26;11;4;20;42;16;60;18
28;FRANCE SERVICES LOUDEAC;TRUE;22136;15 RUE DE MONCONTOUR 22600 LOUDEAC;22600;20 006 746 000 010;TRUE;4;;;;;;;;;;;;
29;CHOM'ACTIF;TRUE;63113;33 Rue de Vertaizon 63000 Clermont-Ferrand;63000;35 330 044 500 049;FALSE;6;;;;;;;;;;;;
30;Clic' & Ressources;TRUE;73236;126 place des tilleuls;73240;24 730 052 800 061;FALSE;4;6;19;;;;;;2;5;9;;4
31;CCAS ST JACQUES DE LA LANDE;TRUE;35281;1 Rue François Mitterrand 35136 Saint-Jacques-de-la-Lande;35136;26 350 263 500 018;FALSE;2;;;;;;;;;;;;
32;We Ker;TRUE;35238;7 Rue de la Parcheminerie 35000 Rennes;35000;32 777 310 700 013;FALSE;7;15;171;34;6;31;14;2;33;49;27;38;32
33;GRETA VIVA5;TRUE;26362;37 Rue Barthélémy de Laffemas 26000 Valence;26000;20 004 632 400 022;FALSE;1;2;9;;;4;;;3;3;;;
34;Espace France Services du Pays de Landivisiau;TRUE;29105;36 rue Clémenceau;29400;24 290 075 100 189;TRUE;3;9;18;2;;;;;6;;8;2;
35;Maison France Services Bretagne romantique;TRUE;35337;22 Rue des Coteaux 35190 La Chapelle-aux-Filtzméens;35190;24 350 073 300 114;TRUE;3;;;;;;;;;;;;
36;LOCH INFO SERVICES;TRUE;56260;30 Rue Alfred Kastler 56000 Vannes;56000;20 006 793 200 018;FALSE;2;;;;;;;;;;;;
37;ADDCAES;TRUE;73065;Pl Rene Vair 73000 Chambéry;73000;32 332 723 900 055;FALSE;4;;;;;;;;;;;;
38;Mon Assistant Numérique - Baie d'Armor;TRUE;22278;12 Boulevard de la Commune 22000 Saint-Brieuc;22000;87 879 064 100 012;FALSE;1;;;;;;;;;;;;
